,gender,emotion,actor,path
0,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_back_fear.wav
1,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_dodge_fear.wav
2,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_bar_fear.wav
3,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_chain_fear.wav
4,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_cause_fear.wav
5,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_dead_fear.wav
6,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_bean_fear.wav
7,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_boat_fear.wav
8,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_cab_fear.wav
9,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_bath_fear.wav
10,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_chalk_fear.wav
11,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_deep_fear.wav
12,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_book_fear.wav
13,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_burn_fear.wav
14,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_bone_fear.wav
15,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_calm_fear.wav
16,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_bite_fear.wav
17,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_doll_fear.wav
18,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_ditch_fear.wav
19,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_chat_fear.wav
20,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_door_fear.wav
21,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_chair_fear.wav
22,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_dip_fear.wav
23,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_base_fear.wav
24,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_check_fear.wav
25,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_choice_fear.wav
26,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_fail_fear.wav
27,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_death_fear.wav
28,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_dime_fear.wav
29,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_date_fear.wav
30,female,fear,1,/content/drive/MyDrive/TESS Toronto emotional speech set data/OAF_Fear/OAF_fall_fear.wav
